Timestamp,local_timestamp_ms,clock_skew_ms,sequence_id,is_warmup,open,high,low,close,volume,taker_buy_volume,taker_sell_volume,trade_count,buy_trade_count,sell_trade_count,best_bid,best_ask,spread,mid_price,microprice,weighted_mid_price,bid_depth_top5,bid_depth_top10,bid_depth_top20,ask_depth_top5,ask_depth_top10,ask_depth_top20,cumulative_bid_volume,cumulative_ask_volume,order_book_imbalance,volume_imbalance,depth_imbalance,slope_bid,slope_ask,slope_imbalance,liquidity_pressure,queue_imbalance,order_book_pressure_ratio,aggressive_buy_volume,aggressive_sell_volume,delta_volume,cumulative_delta,trade_intensity,avg_trade_size,max_trade_size,signed_trade_flow,trade_burst_metric,trade_arrival_rate,log_return,realized_volatility,parkinson_volatility,bipower_variance,momentum_10s,price_acceleration,price_impact,micro_trend,directional_pressure,effective_spread,quoted_spread,realized_spread,kyle_lambda,amihud_illiquidity,resiliency_metric,liquidity_vacuum,vpin,toxicity_score,adverse_selection_metric,funding_rate,mark_price,index_price,mark_index_spread,open_interest,oi_change_rate,long_short_ratio,predicted_funding_rate,volatility_regime,trend_regime,ranging_regime,entropy,hurst_exponent,second_of_minute,minute_of_hour,hour_of_day,day_of_week,session_marker,book_update_count,trade_msg_count,has_gap,recovery_source,row_checksum
1779858128000,1779858129004,10,1,True,5.622,5.622,5.622,5.622,1.1,0.0,1.1,1,0,1,5.622,5.623,0.001000000000000334,5.6225000000000005,5.622763599693601,5.623615137569577,2205.2000000000003,10065.2,18785.0,4271.4,11404.199999999999,28871.7,18785.0,28871.7,-0.21165334569955097,-0.999999999090909,-0.2247998711879287,-9.074015693956351e-07,6.688074703307628e-07,-1.5762090397263978e-06,0.3941733271502141,-0.5271994627231216,0.6506371290917871,0.0,1.1,-1.1,-1.1,0.03278688524590164,1.0999999989,1.1,-1.1,30.49999906975003,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0010000000000012221,0.001000000000000334,0.0010000000000012221,0.0,0.0,0.0,False,1.0,0.0,0.0,-0.00012461,5.623,5.6273207,-0.004320700000000066,4800445.7,0.0,1.9586,-0.00012461,1,1,False,0.0,0.5,8,2,5,2,0,3,1,False,0,3226593381
1779858129000,1779858130102,10,2,True,5.623,5.623,5.623,5.623,7.8,7.8,0.0,1,1,0,5.622,5.623,0.001000000000000334,5.6225000000000005,5.6229563757917544,5.623442131492394,2438.4,10188.0,18907.8,4263.0,11649.4,29249.6,18907.8,29249.6,-0.2147499657373485,0.9999999998717949,-0.22735893355211761,-9.049409809374364e-07,6.573791252619899e-07,-1.5623201061994262e-06,0.3926250171313154,-0.9127516778446916,0.6464293528800172,7.8,0.0,7.8,6.699999999999999,0.06449879064767536,7.799999992199999,7.8,7.8,15.504166426287487,1.0,0.00017785682572461967,0.0,0.0,0.0,0.0,0.00017785682572461967,2.2802157141258657e-05,0,0.0,0.0009999999999994458,0.001000000000000334,0.0009999999999994458,0.0,0.0,0.0,False,1.0,0.0,0.0,-0.00012461,5.623,5.6273207,-0.004320700000000066,4800445.7,0.0,1.9586,-0.00012461,1,1,False,0.0,0.5,9,2,5,2,0,9,1,False,0,995929838
1779858130000,1779858131098,10,3,True,5.622,5.622,5.622,5.622,118.7,0.0,118.7,1,0,1,5.622,5.623,0.001000000000000334,5.6225000000000005,5.622439209697961,5.62333231519908,2606.5,10336.7,19097.6,4072.4,10718.0,28114.2,19097.6,28114.2,-0.19098191553806063,-0.9999999999915754,-0.15154588768322835,-9.016032107185572e-07,6.85854416051006e-07,-1.5874576267695632e-06,0.40450904223095907,0.1215805471118461,0.6792866238413086,0.0,118.7,-118.7,-112.0,0.09517096144611223,118.69999988129999,118.7,-118.7,10.507406611194257,1.0,-0.00017785682572453652,0.0,0.0,0.0,0.0,-0.0003557136514491562,1.4983725840188554e-06,0,0.0,0.0010000000000012221,0.001000000000000334,0.0010000000000012221,0.0,0.0,0.0,False,1.0,0.0,0.0,-0.00012461,5.623,5.6273207,-0.004320700000000066,4800445.7,0.0,1.9586,-0.00012461,1,1,False,0.0,0.5,10,2,5,2,0,6,1,False,0,1790936180
1779858131000,1779858132064,10,4,True,5.6225000000000005,5.6225000000000005,5.6225000000000005,5.6225000000000005,0.0,0.0,0.0,0,0,0,5.622,5.623,0.001000000000000334,5.6225000000000005,5.622554105887864,5.623354367515674,2630.5,10360.7,19121.6,4236.1,10975.1,28371.3,19121.6,28371.3,-0.1947596377563764,0.0,-0.16228593645946268,-9.018917760848983e-07,6.816439380104976e-07,-1.583535714095396e-06,0.40262018112180137,-0.10821181887909359,0.6739768709928458,0.0,0.0,0.0,-112.0,0.09205060205443642,0.0,0.0,0.0,0.0,0.0,8.893236699372275e-05,0.0,0.0,0.0,0.0,0.00026678919271825923,88932.36699372274,0,0.0,0.0,0.001000000000000334,0.002000000000000668,0.0,0.0,0.0,False,1.0,0.0,0.002000000000000668,-0.00012461,5.623,5.6273207,-0.004320700000000066,4800445.7,0.0,1.9586,-0.00012461,1,1,False,0.0,0.5,11,2,5,2,0,8,0,False,0,1942432967
1779858132000,1779858133012,10,5,True,5.622,5.622,5.622,5.622,1.1,0.0,1.1,1,0,1,5.622,5.623,0.001000000000000334,5.6225000000000005,5.62264493265194,5.623587547986089,2307.9,10038.1,18799.0,4282.2,11310.4,28687.9,18799.0,28687.9,-0.20824480014487773,-0.999999999090909,-0.1860915761921061,-9.128342344714025e-07,6.733893653231073e-07,-1.5862235997945098e-06,0.39587759992755067,-0.28986534372682543,0.6552936952512851,0.0,1.1,-1.1,-113.1,0.12181943477396309,1.0999999989,1.1,-1.1,8.208870724500052,1.0,-8.893236699370044e-05,0.0,0.0,0.0,0.0,-0.00017786473398742318,8.084760628441165e-05,0,0.0,0.0010000000000012221,0.001000000000000334,0.0010000000000012221,0.0,0.0,0.0,False,1.0,0.0,0.0,-0.00012461,5.623,5.6273207,-0.004320700000000066,4800445.7,0.0,1.9586,-0.00012461,1,1,False,0.5004025941528701,0.5,12,2,5,2,0,6,1,False,0,908026183
1779858133000,1779858134008,10,6,True,5.622,5.622,5.622,5.622,84.8,0.0,84.8,1,0,1,5.622,5.623,0.001000000000000334,5.6225000000000005,5.622689616651943,5.623572864090563,2312.4,10028.2,18803.5,4285.5,11048.5,28372.4,18803.5,28372.4,-0.20283449812297802,-0.9999999999882075,-0.1854682516843022,-9.117879830325297e-07,6.835227363086505e-07,-1.5953107193411802e-06,0.39858275093850043,-0.3792333457373307,0.6627391408551739,0.0,84.8,-84.8,-197.89999999999998,0.1506122401912102,84.79999991519999,84.8,-84.8,6.639566559071697,1.0,0.0,0.0,0.0,0.0,0.0,8.893236699370044e-05,0.0,0,0.0,0.0010000000000012221,0.001000000000000334,-0.0009999999999994458,0.0,0.0,0.0,False,1.0,0.0,-0.002000000000000668,-0.00012461,5.623,5.6273207,-0.004320700000000066,4800445.7,0.0,1.9586,-0.00012461,1,1,False,0.8675633758576725,0.5,13,2,5,2,0,9,1,False,0,4076280025
1779858134000,1779858135004,10,7,True,5.622,5.622,5.622,5.622,2.0,0.0,2.0,2,0,2,5.622,5.623,0.001000000000000334,5.6225000000000005,5.622683327095775,5.623670813394526,2199.5,9977.9,18753.2,4279.5,11024.8,28348.7,18753.2,28348.7,-0.2037178967302762,-0.9999999995,-0.18756702149012308,-9.125974210830189e-07,6.848013207598508e-07,-1.5973987418428697e-06,0.3981410516348513,-0.3666542334935969,0.6615188703538201,0.0,2.0,-2.0,-199.89999999999998,0.2112479044472361,0.9999999995,1.0,-2.0,9.467549492458968,2.197802192971863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0010000000000012221,0.001000000000000334,-0.0009999999999994458,0.0,0.0,0.0,False,1.0,0.0,-0.002000000000000668,-0.00012461,5.623,5.6273207,-0.004320700000000066,4800445.7,0.0,1.9586,-0.00012461,1,1,False,0.7356220889119998,0.5,14,2,5,2,0,6,2,False,0,2250780174
1779858135000,1779858136086,10,8,True,5.623,5.623,5.622,5.622,103.5,27.5,76.0,2,1,1,5.622,5.623,0.001000000000000334,5.6225000000000005,5.622973897879217,5.623672226673109,2148.2,9727.0,18591.5,4338.6,11087.9,28565.0,18591.5,28565.0,-0.21149788470305875,-0.4685990338118976,-0.22141912612657375,-9.173564950696139e-07,6.778401335677143e-07,-1.5951966286373282e-06,0.3942510576484601,-0.9477958236603957,0.6508489410117049,27.5,76.0,-48.5,-248.39999999999998,0.26989551413749063,51.749999974125,76.0,-48.5,7.41027504284818,3.6231883926696065,0.0,0.0,0.0001068139094667335,0.0,0.0,0.0,0.0,0,-0.9999990000010001,0.0010000000000012221,0.001000000000000334,-0.0030000000000001137,0.0,0.0,0.0,False,1.0,0.0,-0.004000000000001336,-0.00012461,5.623,5.6273207,-0.004320700000000066,4800445.7,0.0,1.9586,-0.00012461,1,1,False,1.2275295175194127,0.5,15,2,5,2,0,9,2,False,0,4019178497
1779858136000,1779858137070,10,9,True,5.622,5.622,5.621,5.622,366.6,88.3,278.3,3,1,2,5.621,5.622,0.0009999999999994458,5.6215,5.621953325521459,5.621990391525623,2916.7999999999997,9586.4,20867.4,4316.400000000001,12727.7,27299.5,20867.4,27299.5,-0.13353776140876547,-0.51827605018953,-0.2060078960118527,-9.177210985474728e-07,6.613279140090073e-07,-1.57904901255648e-06,0.4332311192956069,-0.9066511085127967,0.7643876261469711,88.3,278.3,-190.0,-438.4,0.359407136624786,122.19999995926668,246.8,-190.0,8.347079637388672,9.852216651702298,0.0,0.0,0.00010683291042897701,0.0,0.0,0.0,0.0,0,0.0,0.0009999999999994458,0.0009999999999994458,-0.004999999999999005,7.046859798153795e-06,0.0,0.0,False,1.0,0.0,-0.005999999999998451,-0.00012461,5.623,5.6273207,-0.004320700000000066,4800445.7,0.0,1.9586,-0.00012461,1,1,False,1.5247074768877744,0.5,16,2,5,2,0,8,3,False,0,1304900322
1779858137000,1779858138004,10,10,True,5.622,5.623,5.622,5.622,77.9,1.3,76.6,3,1,2,5.622,5.623,0.001000000000000334,5.6225000000000005,5.622737482425724,5.623243658432137,2801.6,10272.199999999999,19115.6,4365.4,11407.9,28991.0,19115.6,28991.0,-0.20528160377161964,-0.9666238767526748,-0.19335800705847375,-9.054636930845574e-07,6.643472726247614e-07,-1.5698109657093188e-06,0.3973591981141798,-0.47496490406890524,0.6593632506639764,1.3,76.6,-75.3,-513.6999999999999,0.445983951817416,25.966666658011114,75.5,-75.3,6.726699427295734,3.338898152457769,0.0,0.0,0.0001068139094667335,0.0,0.0,0.0,0.0,0,0.0,0.0010000000000012221,0.001000000000000334,-0.009000000000000341,7.595454012671638e-06,0.0,0.12499999161809688,False,1.0,1.0,-0.010000000000001563,-0.00012461,5.623,5.6273207,-0.004320700000000066,4800445.7,0.0,1.9586,-0.00012461,1,1,False,1.2130076904277471,0.5,17,2,5,2,0,8,3,False,0,2756062861
1779858138000,1779858139192,10,11,True,5.622,5.622,5.619,5.621,283.9,74.6,209.3,7,2,5,5.621,5.622,0.0009999999999994458,5.6215,5.62165309812021,5.6218389534253275,2903.2,9627.7,21441.2,3819.7,11529.9,25923.3,21441.2,25923.3,-0.09462994436761507,-0.4744628390261556,-0.1257155375435194,-8.944533451611412e-07,6.975169194657761e-07,-1.5919702646269173e-06,0.4526850278161819,-0.30619629126953324,0.8271014878506662,74.6,209.3,-134.70000000000002,-648.4,0.6608697238889761,40.55714285134898,107.2,-134.7,10.592102704017764,157.89471191136127,-0.00017788846440209264,0.0,0.00032055576122308666,0.0,-0.0009999999999994458,-0.00017788846440209264,6.265884621397184e-07,0,-0.3333332222220619,0.0009999999999994458,0.0009999999999994458,-0.0070000000000014495,8.138501212326035e-06,0.0,0.22222225165661158,False,1.0,1.0,-0.008000000000000895,-0.00012461,5.623,5.6273207,-0.004320700000000066,4800361.4,0.0,1.9586,-0.00012461,1,1,False,1.677940532003212,0.5,18,2,5,2,0,9,7,False,0,3847591958
1779858139000,1779858140098,10,12,True,5.621,5.621,5.621,5.621,200.3,129.0,71.3,4,1,3,5.621,5.622,0.0009999999999994458,5.6215,5.6219951876534076,5.6218903531866316,2646.2,9203.6,21017.1,3803.6,11652.699999999999,26159.7,21017.1,26159.7,-0.10900696952739256,0.28806789815133266,-0.17838148561590256,-9.05067508331178e-07,6.892756343752934e-07,-1.5943431427064714e-06,0.44549651523629313,-0.9903753609191994,0.8034151767795195,129.0,71.3,57.7,-590.6999999999999,0.7703494050729441,50.07499998748125,129.0,57.699999999999996,5.192448995827799,6.355932162991956,0.0,0.0,0.0,0.0,-0.0019999999999997797,0.00017788846440209264,0.0,0,0.0,0.0009999999999994458,0.0009999999999994458,0.011000000000001009,6.486063707334331e-06,0.0,-0.277777759565248,False,1.0,1.0,0.010000000000001563,-0.00012461,5.623,5.6273207,-0.004320700000000066,4800361.4,0.0,1.9586,-0.00012461,1,1,False,1.7037545532579046,0.5,19,2,5,2,0,8,4,False,0,363571300
1779858140000,1779858141014,10,13,True,5.621,5.621,5.621,5.621,6.4,5.4,1.0,2,1,1,5.62,5.621,0.001000000000000334,5.6205,5.620948717922982,5.62085648926815,2935.0,9230.0,20451.2,3840.8,11679.7,26348.899999999998,20451.2,26348.899999999998,-0.12601896149794278,0.6874999998925782,-0.1777400157912705,-9.129786186901216e-07,6.833170607271728e-07,-1.5962956794172946e-06,0.43699051925101795,-0.8974358974317884,0.7761690241338054,5.4,1.0,4.4,-586.3,0.8106658180213722,3.1999999984,5.4,4.4,2.467107842803068,1.7513134820467366,0.0,0.0,0.0,0.0,-0.0009999999999994458,0.0,0.0,0,0.0,0.0010000000000012221,0.001000000000000334,0.0070000000000014495,6.438525531226213e-06,0.0,-0.1111111111111111,False,1.0,1.0,0.006000000000000227,-0.00012461,5.623,5.6273207,-0.004320700000000066,4800361.4,0.0,1.9586,-0.00012461,1,1,False,1.6483829984120129,0.5,20,2,5,2,0,7,2,False,0,2230779846
1779858141000,1779858142000,10,14,True,5.62,5.62,5.619,5.619,71.6,0.0,71.6,2,0,2,5.619,5.62,0.001000000000000334,5.6195,5.619796700342632,5.618781647229152,4909.6,10759.4,21753.9,3279.9,10302.8,24846.4,21753.9,24846.4,-0.06636223371952399,-0.9999999999860335,-0.09636696896515853,-8.807654610884875e-07,7.2239497375791e-07,-1.6031604348463975e-06,0.4668188831402273,-0.5934007450740106,0.8755352888144409,0.0,71.6,-71.6,-657.9,0.8496603813649337,35.7999999821,60.4,-71.6,2.3538816702659786,1.1961722473729999,-0.00035587188987685423,0.0,0.00010687093264132857,0.0,-0.0035000000000007248,-0.00035587188987685423,4.97027779150676e-06,0,-0.9999990000010001,0.0010000000000012221,0.001000000000000334,0.0030000000000001137,6.553103095785608e-06,0.0,-0.1333333488305407,False,1.0,1.0,0.0019999999999988916,-0.00012461,5.623,5.6273207,-0.004320700000000066,4800361.4,0.0,1.9586,-0.00012461,1,1,False,1.6320912356910027,0.5,21,2,5,2,0,8,2,False,0,402813494
